航班号     共享航班     经停站     目的站     办票时间     值机柜台     登机口     航班状态
1402       -----        -----       -----       -----       -----        -----        ARR     
1402       -----        -----       -----       -----       -----        -----        -----      
1402       -----        -----       -----       -----       -----        -----        -----      
1529       -----        -----       -----       -----       -----        -----        -----      
1402       -----        -----       -----       -----       -----        -----        -----      
1402       -----        -----       -----       -----       -----        -----        -----      
2898       -----        -----       -----       -----       -----        -----        ARR     
2898       -----        -----       -----       -----       -----        -----        -----      
3103       -----        -----       -----       -----       -----        -----        -----      
2898       -----        -----       -----       -----       -----        -----        -----      
2898       -----        -----       -----       -----       -----        -----        -----      
2898       -----        -----       -----       -----       -----        -----        -----      
689        -----        -----       -----       -----       -----        -----        -----      
689        -----        -----       -----       -----       -----        103          -----      
689        -----        -----       -----       -----       -----        103          -----      
1667       -----        -----       -----       -----       -----        -----        DEP     
1667       -----        -----       -----       -----       -----        -----        -----      
2878       -----        -----       -----       -----       -----        -----        ARR     
2878       -----        -----       -----       -----       -----        -----        -----      
2931       -----        -----       -----       -----       -----        -----        -----      
2878       -----        -----       -----       -----       -----        -----        -----      
2878       -----        -----       -----       -----       -----        -----        -----      
2878       -----        -----       -----       -----       -----        -----        -----      
963        -----        -----       -----       -----       -----        -----        -----      
963        -----        -----       -----       -----       -----        105          -----      
963        -----        -----       -----       -----       -----        105          -----      
689        -----        -----       -----       -----       -----        -----        POK     
689        -----        -----       -----       -----       -----        103          -----      
689        -----        -----       -----       -----       -----        103          -----      
9101       -----        -----       -----       -----       -----        -----        DEP     
9101       -----        -----       -----       -----       -----        -----        -----      
5751       -----        -----       -----       -----       -----        -----        ARR     
5751       -----        -----       -----       -----       -----        -----        -----      
5752       -----        -----       -----       -----       -----        -----        -----      
5751       -----        -----       -----       -----       -----        -----        -----      
5751       -----        -----       -----       -----       -----        -----        -----      
5751       -----        -----       -----       -----       -----        -----        -----      
963        -----        -----       -----       -----       -----        -----        POK     
963        -----        -----       -----       -----       -----        105          -----      
963        -----        -----       -----       -----       -----        105          -----      
9069       -----        -----       -----       -----       -----        -----        ARR     
9069       -----        -----       -----       -----       -----        -----        -----      
9069       -----        -----       -----       -----       -----        -----        -----      
9070       -----        -----       -----       -----       -----        -----        -----      
9069       -----        -----       -----       -----       -----        -----        -----      
9069       -----        -----       -----       -----       -----        -----        -----      
328        -----        -----       -----       -----       -----        -----        -----      
7908       -----        -----       -----       -----       -----        -----        ARR     
7908       -----        -----       -----       -----       -----        -----        -----      
7908       -----        -----       -----       -----       -----        -----        -----      
7993       -----        -----       -----       -----       -----        -----        -----      
7908       -----        -----       -----       -----       -----        -----        -----      
7908       -----        -----       -----       -----       -----        -----        -----      
2966       -----        -----       -----       -----       -----        -----        ARR     
2966       -----        -----       -----       -----       -----        -----        -----      
2966       -----        -----       -----       -----       -----        -----        -----      
3035       -----        -----       -----       -----       -----        -----        -----      
2966       -----        -----       -----       -----       -----        -----        -----      
2966       -----        -----       -----       -----       -----        -----        -----      
7902       -----        -----       -----       -----       -----        -----        ARR     
